k,t,r
465,219.169778,0.012197,0.109669
466,219.703424,0.012103,0.107235
467,220.105752,0.012011,0.107235
468,220.637484,0.011914,0.104886
469,221.041000,0.011804,0.104886
470,221.574450,0.011684,0.102147
471,221.975908,0.011558,0.102147
472,222.529627,0.011435,0.098934
473,222.938058,0.011322,0.098934
474,223.489775,0.011217,0.095670
475,223.896759,0.011107,0.095670
476,224.437132,0.010989,0.092479
477,224.841213,0.010870,0.092479
478,225.372672,0.010761,0.089388
479,225.779217,0.010665,0.089388
480,226.311618,0.010572,0.086700
481,226.712252,0.010468,0.086700
482,227.248654,0.010353,0.083972
483,227.656038,0.010238,0.083972
484,228.200953,0.010133,0.080991
485,228.599714,0.010042,0.080991
486,229.137137,0.009959,0.078288
487,229.545359,0.009878,0.078288
488,230.078744,0.009792,0.076032
489,230.486845,0.009701,0.076032
490,231.035778,0.009606,0.073849
491,231.441522,0.009512,0.073849
492,231.987665,0.009417,0.071573
493,232.389039,0.009313,0.071573
494,232.930002,0.009195,0.069013
495,233.330576,0.009067,0.069013
496,233.857333,0.008946,0.066044
497,234.258577,0.008846,0.066044
498,234.795891,0.008768,0.063371
499,235.198598,0.008700,0.063371
500,235.733420,0.008625,0.061406
501,236.134889,0.008536,0.061406
502,236.669628,0.008433,0.059501
503,237.068363,0.008325,0.059501
504,237.607355,0.008225,0.057243
505,238.011362,0.008139,0.057243
506,238.545784,0.008061,0.055021
507,238.951609,0.007983,0.055021
508,239.493432,0.007902,0.053065
509,239.895901,0.007828,0.053065
510,240.430709,0.007766,0.051416
511,240.835704,0.007714,0.051416
512,241.369336,0.007658,0.050080
513,241.773868,0.007589,0.050080
514,242.304496,0.007506,0.048584
515,242.708003,0.007419,0.048584
516,243.250095,0.007335,0.046780
517,243.655126,0.007258,0.046780
518,244.192708,0.007186,0.045008
519,244.598669,0.007119,0.045008
520,245.143380,0.007056,0.043521
521,245.545121,0.006987,0.043521
522,246.100117,0.006909,0.042118
523,246.505343,0.006828,0.042118
524,247.048241,0.006755,0.040585
525,247.452348,0.006691,0.040585
526,247.987700,0.006633,0.039059
527,248.392328,0.006572,0.039059
528,248.929241,0.006501,0.037513
529,249.328821,0.006422,0.037513
530,249.864586,0.006345,0.035870
531,250.260822,0.006278,0.035870
532,250.789990,0.006223,0.034350
533,251.194657,0.006177,0.034350
534,251.737842,0.006135,0.033252
535,252.143667,0.006088,0.033252
536,252.692777,0.006027,0.032504
537,253.093100,0.005944,0.032504
538,253.632043,0.005848,0.031585
539,254.034241,0.005752,0.031585
540,254.583897,0.005672,0.030241
541,254.987995,0.005611,0.030241
542,255.532153,0.005560,0.028738
543,255.934282,0.005508,0.028738
544,256.474102,0.005450,0.027229
545,256.874642,0.005387,0.027229
546,257.410410,0.005326,0.025773
547,257.811400,0.005268,0.025773
548,258.349051,0.005214,0.024445
549,258.754192,0.005157,0.024445
550,259.290660,0.005088,0.023231
551,259.693348,0.005007,0.023231
552,260.233261,0.004923,0.022009
553,260.638910,0.004847,0.022009
554,261.176838,0.004785,0.020828
555,261.584394,0.004735,0.020828
556,262.128760,0.004694,0.019889
557,262.524554,0.004657,0.019889
558,263.059621,0.004619,0.019225
559,263.463264,0.004575,0.019225
560,264.001125,0.004518,0.018642
561,264.407222,0.004449,0.018642
562,264.937344,0.004374,0.017890
563,265.339144,0.004302,0.017890
564,265.903135,0.004239,0.016954
565,266.302500,0.004183,0.016954
566,266.844113,0.004135,0.016019
567,267.246903,0.004095,0.016019
568,267.784024,0.004059,0.015251
569,268.192772,0.004018,0.015251
570,268.735590,0.003969,0.014580
571,269.139341,0.003913,0.014580
572,269.672510,0.003855,0.013870
573,270.074605,0.003799,0.013870
574,270.616650,0.003745,0.013091
575,271.014567,0.003692,0.013091
576,271.550580,0.003644,0.012257
577,271.952702,0.003607,0.012257
578,272.489596,0.003584,0.011521
579,272.893042,0.003570,0.011521
580,273.426825,0.003557,0.011059
581,273.829593,0.003536,0.011059
582,274.358583,0.003505,0.010848
583,274.767995,0.003470,0.010848
584,275.303697,0.003433,0.010773
585,275.705599,0.003398,0.010773
586,276.257803,0.003366,0.010731
587,276.656904,0.003335,0.010731
588,277.212004,0.003303,0.010658
589,277.613148,0.003268,0.010658
590,278.153995,0.003233,0.010488
591,278.554371,0.003200,0.010488
592,279.093112,0.003170,0.010185
593,279.492913,0.003145,0.010185
594,280.032623,0.003122,0.009792
595,280.433831,0.003099,0.009792
596,280.971305,0.003076,0.009338
597,281.376960,0.003048,0.009338
598,281.912527,0.003014,0.008835
599,282.313747,0.002972,0.008835
600,282.863433,0.002923,0.008209
601,283.264403,0.002862,0.008209
602,283.800622,0.002791,0.007360
603,284.207147,0.002717,0.007360
604,284.742517,0.002650,0.006315
605,285.151694,0.002600,0.006315
606,285.692237,0.002567,0.005296
607,286.100207,0.002543,0.005296
608,286.641941,0.002517,0.004495
609,287.054527,0.002483,0.004495
610,287.588845,0.002438,0.003941
611,287.989091,0.002387,0.003941
612,288.528785,0.002337,0.003588
613,288.930661,0.002297,0.003588
614,289.468464,0.002267,0.003417
615,289.881029,0.002245,0.003417
616,290.415050,0.002223,0.003406
617,290.818313,0.002197,0.003406
618,291.351121,0.002161,0.003477
619,291.751950,0.002111,0.003477
620,292.284297,0.002042,0.003435
621,292.686401,0.001961,0.003435
622,293.234247,0.001882,0.003132
623,293.636719,0.001825,0.003132
624,294.173051,0.001799,0.002666
625,294.574662,0.001801,0.002666
626,295.103673,0.001817,0.002287
627,295.497967,0.001832,0.002287
628,296.019074,0.001833,0.002102
629,296.422570,0.001819,0.002102
630,296.970113,0.001790,0.002058
631,297.382167,0.001754,0.002058
632,297.928075,0.001718,0.002059
633,298.334756,0.001683,0.002059
634,298.893914,0.001649,0.002020
635,299.296975,0.001613,0.002020
636,299.836373,0.001578,0.001907
637,300.242336,0.001547,0.001907
638,300.783318,0.001525,0.001752
639,301.191764,0.001517,0.001752
640,301.734638,0.001518,0.001610
641,302.141855,0.001523,0.001610
642,302.674427,0.001524,0.001519
643,303.078315,0.001516,0.001519
644,303.620852,0.001499,0.001472
645,304.020964,0.001471,0.001472
646,304.558159,0.001436,0.001405
647,304.960103,0.001398,0.001405
648,305.492681,0.001361,0.001272
649,305.896106,0.001332,0.001272
650,306.429291,0.001315,0.001080
651,306.826509,0.001311,0.001080
652,307.358642,0.001318,0.000886
653,307.773496,0.001329,0.000886
654,308.310301,0.001340,0.000750
655,308.719395,0.001345,0.000750
656,309.266091,0.001341,0.000677
657,309.665311,0.001327,0.000677
658,310.203083,0.001305,0.000632
659,310.609658,0.001275,0.000632
660,311.141508,0.001241,0.000568
661,311.544053,0.001206,0.000568
662,312.086296,0.001172,0.000461
663,312.483112,0.001143,0.000461
664,313.026418,0.001119,0.000316
665,313.432286,0.001102,0.000316
666,313.965343,0.001095,0.000177
667,314.376563,0.001096,0.000177
668,314.918934,0.001102,0.000085
669,315.319682,0.001108,0.000085
670,315.861087,0.001108,0.000052
671,316.268973,0.001099,0.000052
672,316.821023,0.001079,0.000055
673,317.233767,0.001051,0.000055
674,317.766033,0.001019,0.000057
675,318.169519,0.000989,0.000057
676,318.708762,0.000966,0.000049
677,319.120717,0.000953,0.000049
678,319.656306,0.000950,0.000045
679,320.058773,0.000954,0.000045
680,320.598751,0.000960,0.000055
681,321.010010,0.000965,0.000055
682,321.551937,0.000963,0.000077
683,321.956849,0.000951,0.000077
684,322.485089,0.000929,0.000093
685,322.885558,0.000897,0.000093
686,323.424707,0.000860,0.000075
687,323.835548,0.000823,0.000075
688,324.370594,0.000791,0.000018
689,324.768309,0.000766,0.000018
690,325.311369,0.000746,0.000069
691,325.718761,0.000726,0.000069
692,326.255654,0.000706,0.000178
693,326.656604,0.000686,0.000178
694,327.189643,0.000670,0.000297
695,327.590012,0.000658,0.000297
696,328.115523,0.000654,0.000398
697,328.529290,0.000657,0.000398
698,329.069090,0.000662,0.000458
699,329.472833,0.000666,0.000458
700,330.006189,0.000666,0.000471
701,330.416417,0.000663,0.000471
702,330.953133,0.000655,0.000441
703,331.361020,0.000643,0.000441
704,331.898526,0.000630,0.000385
705,332.300980,0.000618,0.000385
706,332.850474,0.000606,0.000324
707,333.252313,0.000594,0.000324
708,333.793605,0.000584,0.000259
709,334.197578,0.000576,0.000259
710,334.730921,0.000570,0.000196
711,335.136710,0.000567,0.000196
712,335.676685,0.000566,0.000147
713,336.078135,0.000566,0.000147
714,336.609793,0.000566,0.000112
715,337.014410,0.000567,0.000112
716,337.562943,0.000568,0.000085
717,337.961160,0.000568,0.000085
718,338.497435,0.000568,0.000069
719,338.902589,0.000568,0.000069
720,339.452019,0.000567,0.000062
721,339.855358,0.000565,0.000062
722,340.391579,0.000564,0.000059
723,340.795561,0.000562,0.000059
724,341.330158,0.000560,0.000066
725,341.735419,0.000558,0.000066
726,342.287410,0.000556,0.000076
727,342.692893,0.000554,0.000076
728,343.228915,0.000552,0.000084
729,343.625556,0.000551,0.000084
730,344.160486,0.000549,0.000092
731,344.563751,0.000548,0.000092
732,345.101344,0.000547,0.000096
733,345.502432,0.000546,0.000096
734,346.039944,0.000546,0.000092
735,346.437286,0.000545,0.000092
736,346.974055,0.000545,0.000083
737,347.371781,0.000544,0.000083
738,347.911027,0.000543,0.000067
739,348.314294,0.000543,0.000067
740,348.848119,0.000542,0.000043
741,349.250421,0.000541,0.000043
742,349.789040,0.000540,0.000015
743,350.192874,0.000539,0.000015
744,350.737882,0.000538,0.000020
745,351.142715,0.000537,0.000020
746,351.678649,0.000536,0.000058
747,352.090033,0.000535,0.000058
748,352.629931,0.000534,0.000101
749,353.038769,0.000533,0.000101
750,353.574736,0.000532,0.000146
751,353.983885,0.000531,0.000146
752,354.521875,0.000531,0.000192
753,354.928752,0.000531,0.000192
754,355.468232,0.000530,0.000238
755,355.868536,0.000530,0.000238
756,356.397955,0.000529,0.000283
757,356.800650,0.000529,0.000283
758,357.336847,0.000529,0.000326
759,357.738811,0.000529,0.000326
760,358.272954,0.000529,0.000362
761,358.679964,0.000529,0.000362
762,359.216126,0.000528,0.000390
763,359.622688,0.000527,0.000390
764,360.151637,0.000523,0.000408
765,360.559068,0.000516,0.000408
766,361.084811,0.000504,0.000405
767,361.491616,0.000485,0.000405
768,362.027037,0.000458,0.000372
769,362.429337,0.000424,0.000372
770,362.973542,0.000382,0.000305
771,363.379730,0.000335,0.000305
772,363.917208,0.000284,0.000207
773,364.320259,0.000234,0.000207
774,364.879258,0.000193,0.000086
775,365.291626,0.000174,0.000086
776,365.835875,0.000182,0.000040
777,366.240859,0.000211,0.000040
778,366.789620,0.000247,0.000152
779,367.201605,0.000283,0.000152
780,367.736893,0.000314,0.000235
781,368.142186,0.000338,0.000235
782,368.680724,0.000355,0.000281
783,369.084626,0.000364,0.000281
784,369.624616,0.000368,0.000291
785,370.027476,0.000365,0.000291
786,370.560758,0.000358,0.000270
787,370.961613,0.000347,0.000270
788,371.508482,0.000333,0.000221
789,371.905477,0.000315,0.000221
790,372.434443,0.000295,0.000144
791,372.835446,0.000273,0.000144
792,373.378062,0.000251,0.000047
793,373.780647,0.000231,0.000047
794,374.316911,0.000212,0.000062
795,374.722729,0.000196,0.000062
796,375.259852,0.000184,0.000169
797,375.668977,0.000176,0.000169
798,376.216050,0.000172,0.000269
799,376.623081,0.000171,0.000269
800,377.165885,0.000173,0.000356
801,377.567942,0.000177,0.000356
802,378.106276,0.000182,0.000420
803,378.515192,0.000187,0.000420
804,379.054103,0.000193,0.000461
805,379.458398,0.000197,0.000461
806,379.998067,0.000201,0.000476
807,380.407115,0.000204,0.000476
808,380.941993,0.000207,0.000469
809,381.343829,0.000209,0.000469
810,381.876286,0.000211,0.000444
811,382.286586,0.000211,0.000444
812,382.833553,0.000211,0.000405
813,383.238388,0.000209,0.000405
814,383.774113,0.000207,0.000357
815,384.185615,0.000204,0.000357
816,384.737121,0.000200,0.000302
817,385.136864,0.000196,0.000302
818,385.669241,0.000191,0.000248
819,386.071335,0.000186,0.000248
820,386.609487,0.000181,0.000199
821,387.015504,0.000177,0.000199
